char,movie,mbti,votes
Prince Charming,Shrek (Franchise),ESFP,817
Gustave H.,The Grand Budapest Hotel (2014),ESFJ,813
Bane,The Dark Knight Trilogy (2005),ENTJ,812
N'Jadaka “Erik Killmonger”,MCU,ESFP,811
Kronk,The Emperor's New Groove (2000),ESFJ,808
The Ancient One,MCU,INFJ,807
Na Bo-Ra,20th Century Girl (2022),ENTP,806
Elizabeth Swann,Pirates of the Caribbean,ESFP,805
Willy Wonka,Willy Wonka and the Chocolate Factory (1971),ENTP,803
Diego,Ice Age (Franchise),ISTP,800
Maui,Moana (2016),ESTP,797
Miguel Rivera,Coco (2017),ESFP,795
Timon,The Lion King (Franchise),ENTP,794
Hela,MCU,ENTJ,792
Saruman the White,The Lord of the Rings (Film Trilogy),INTJ,790
Anastasia Steele,Fifty Shades of Grey (2015),ISFJ,789
Lilo Pelekai,Lilo & Stitch (Franchise),ENFP,788
Clark Kent “Superman”,DC Extended Universe,ISFJ,786
Dani,Midsommar (2019),ISFP,785
Priya Mangal,Turning Red (2022),ISTP,784
Michael Myers,Halloween (1978),ISTP,783
Bella Baxter,Poor Things,ENTP,781
Blu,Rio (2011),INTP,780
Mike Teavee,Charlie and the Chocolate Factory (2005),ISTP,778
Nick Dunne,Gone Girl (2014),ESTP,776
Daniel Plainview,There Will Be Blood (2007),ENTJ,774
Lydia Deetz,Beetlejuice (1988),INFP,773
Charlie Bucket,Charlie and the Chocolate Factory (2005),ISFJ,773
Lewis Strauss,Oppenheimer (2023),ENTJ,773
Olive Penderghast,Easy A (2010),ENTP,771
Tarrant Hightopp / The Mad Hatter,Alice in Wonderland / Through the Looking Glass (2010 - 2016),ENFP,770
Sherlock Holmes,Enola Holmes (2020),INTP,769
Sonic the Hedgehog,Sonic the Hedgehog (Film Series),ESFP,768
Jane Porter,Tarzan (1999),ENTP,768
Emma Woodhouse,Emma. (2020),ENFJ,765
Vincent Vega,Pulp Fiction (1994),ISTP,765
Darth Maul (Episode I),Star Wars,ISTP,765
Scott Pilgrim,Scott Pilgrim vs. the World (2010),ISFP,762
"Gwendolyn ""Gwen"" Stacy",The Amazing Spider-Man Duology,ENFJ,762
"Kidagakash ""Kida"" Nedakh",Atlantis: The Lost Empire (2001),INFJ,758
Sebastian “Seb” Wilder,La La Land (2016),ISFP,757
The Joker,DC Extended Universe,ESTP,756
Abby Park,Turning Red (2022),ESFP,754
Elizabeth “Beth” March,Little Women (2019),ISFJ,753
John Nash,A Beautiful Mind (2001),INTJ,752
Mary Jane Watson,The Spider-Man Trilogy (2002),ISFP,747
Sidney Prescott,Scream (Franchise),ISFP,745
Gale Hawthorne,The Hunger Games (Franchise),ENTJ,744
Carrie White,Carrie (1976),ISFJ,742
