,genre_ids,id,popularity,release_date,title,vote_average,vote_count
291,"[12, 28, 53]",954,151.337,1996-05-22,Mission: Impossible,6.98,8573
292,"[28, 80]",339403,462.504,2017-06-28,Baby Driver,7.45,15239
293,"[16, 28, 12, 878]",569094,167.93,2023-05-31,Spider-Man: Across the Spider-Verse,8.362,6301
294,"[28, 878, 12]",27205,500.916,2010-07-15,Inception,8.368,35763
295,"[28, 80, 18, 53]",9615,14.209,2006-06-03,The Fast and the Furious: Tokyo Drift,6.483,6599
296,"[28, 12, 878]",99861,119.293,2015-04-22,Avengers: Age of Ultron,7.273,22459
297,[35],5881,5.341,2006-11-08,Twice Upon a Time,5.9,14
298,"[10751, 16, 14, 28, 12]",81188,55.194,2012-11-21,Rise of the Guardians,7.362,6494
299,"[16, 878, 28]",1209288,186.051,2024-04-22,Justice League: Crisis on Infinite Earths Part Two,6.781,80
300,"[18, 35]",391713,397.284,2017-09-01,Lady Bird,7.266,8210
301,"[27, 18, 9648]",530385,63.508,2019-07-03,Midsommar,7.161,6748
302,"[9648, 53, 18]",210577,125.647,2014-10-01,Gone Girl,7.892,18124
303,"[35, 18, 10749]",19913,36.937,2009-07-17,(500) Days of Summer,7.282,9768
304,"[18, 35, 10749]",718032,56.715,2021-11-26,Licorice Pizza,6.984,2127
305,"[18, 878]",62215,365.931,2011-05-26,Melancholia,7.195,3376
306,"[18, 35]",350,61.584,2006-06-29,The Devil Wears Prada,7.395,11673
307,"[12, 28, 878]",11,565.814,1977-05-25,Star Wars,8.203,20039
308,"[12, 28, 878]",299536,280.129,2018-04-25,Avengers: Infinity War,8.247,28920
309,"[12, 14, 28]",22,119.533,2003-07-09,Pirates of the Caribbean: The Curse of the Black Pearl,7.8,20019
310,"[16, 10751, 14, 12]",12092,66.464,1951-07-28,Alice in Wonderland,7.192,5675
311,"[12, 28, 878]",11,565.814,1977-05-25,Star Wars,8.203,20039
312,"[16, 35, 10751]",47166,15.765,1938-11-23,Ferdinand the Bull,6.536,165
