,genre_ids,id,popularity,release_date,title,vote_average,vote_count
293,"[12, 28, 53]",954,128.053,1996-05-22,Mission: Impossible,6.979,8556
294,"[28, 80]",339403,398.941,2017-06-28,Baby Driver,7.451,15204
295,"[16, 28, 12, 878]",569094,187.181,2023-05-31,Spider-Man: Across the Spider-Verse,8.366,6265
296,"[28, 878, 12]",27205,469.381,2010-07-15,Inception,8.368,35717
297,"[28, 80, 18, 53]",9615,14.885,2006-06-03,The Fast and the Furious: Tokyo Drift,6.483,6584
298,"[28, 12, 878]",99861,135.577,2015-04-22,Avengers: Age of Ultron,7.272,22433
299,[35],5881,6.104,2006-11-08,Twice Upon a Time,5.9,14
300,"[10751, 16, 14, 28, 12]",81188,60.361,2012-11-21,Rise of the Guardians,7.361,6486
301,"[16, 878, 28]",1209288,244.194,2024-04-22,Justice League: Crisis on Infinite Earths Part Two,6.538,65
302,"[18, 35]",391713,373.703,2017-09-01,Lady Bird,7.266,8187
303,"[27, 18, 9648]",530385,62.694,2019-07-03,Midsommar,7.162,6729
304,"[9648, 53, 18]",210577,114.341,2014-10-01,Gone Girl,7.892,18095
305,"[35, 18, 10749]",19913,61.108,2009-07-17,(500) Days of Summer,7.282,9753
306,"[18, 35, 10749]",718032,62.355,2021-11-26,Licorice Pizza,6.983,2123
307,"[18, 878]",62215,346.783,2011-05-26,Melancholia,7.2,3372
308,"[18, 35]",350,88.07,2006-06-29,The Devil Wears Prada,7.4,11653
309,"[12, 28, 878]",11,548.205,1977-05-25,Star Wars,8.2,19997
310,"[12, 28, 878]",299536,301.378,2018-04-25,Avengers: Infinity War,8.246,28875
311,"[12, 14, 28]",22,154.147,2003-07-09,Pirates of the Caribbean: The Curse of the Black Pearl,7.8,19983
312,"[16, 10751, 14, 12]",12092,70.415,1951-07-28,Alice in Wonderland,7.193,5669
313,"[12, 28, 878]",11,548.205,1977-05-25,Star Wars,8.203,19999
314,"[16, 35, 10751]",47166,20.069,1938-11-23,Ferdinand the Bull,6.5,162
