,id,person_mbti,mbti_test,character,movie
306,56,INTP,michaelcaloz.com,Iron Giant,The Iron Giant
431,56,INTP,michaelcaloz.com,Wall-E,Wall-E (2008)
182,57,ISTP,16Personalities,Astronaut Sam,Moon(2009)
307,57,ISTP,16Personalities,Ripley,Alien 
432,57,ISTP,16Personalities,Motoko,Ghost in the shell
57,57,ISTP,16Personalities,Mima Kirigoe,Perfect Blue 
433,58,ISTJ,Administered by institution,Andrew , Whiplash
683,58,ISTJ,Administered by institution,Aragorn , Lord of the Rings
58,58,ISTJ,Administered by institution,Forrest Gump , Forrest Gump
183,58,ISTJ,Administered by institution,Sebastian , La La Land
308,58,ISTJ,Administered by institution,Mia , La La Land
558,58,ISTJ,Administered by institution,Hermione , Harry Potter
684,59,ISFJ,Meyers Briggs,The Djinn, Idris Elba’s 3000 years of Longing
184,59,ISFJ,Meyers Briggs,Eleanor, Emma Thompson’s Sense and Sensibility 
59,59,ISFJ,Meyers Briggs,Cinderella , Kenneth Branagh’s live action Cindery
559,59,ISFJ,Meyers Briggs,Stitch,Lilo and Stitch
309,59,ISFJ,Meyers Briggs,Elwood Blues,The Blues Brothers 
434,59,ISFJ,Meyers Briggs,Lizzie Bennet,Keira Knightly’s Pride and Prejudice 
810,60,ENFP,ALL OF THE ABOVE B2UWHAHAHAHA,MURRAY,Hotel Transylvania 
310,60,ENFP,ALL OF THE ABOVE B2UWHAHAHAHA,HAKU,Spirited away
435,60,ENFP,ALL OF THE ABOVE B2UWHAHAHAHA,TURNIP,Howls moving castle
185,60,ENFP,ALL OF THE ABOVE B2UWHAHAHAHA,MALEFICENT,Maleficent
560,60,ENFP,ALL OF THE ABOVE B2UWHAHAHAHA,PONYO,ponyo
685,60,ENFP,ALL OF THE ABOVE B2UWHAHAHAHA,MAVIS DRACULA,Hotel Transylvania 
60,60,ENFP,ALL OF THE ABOVE B2UWHAHAHAHA,THE FOX,The little prince
436,61,INFJ,16Personalities,Wade Wilson,Deadpool
61,61,INFJ,16Personalities,Bob Harris,Lost in Translation
