char,movie,mbti,votes
Man,Unhinged (2020),ESTP,52 Pdb Votes
Erika Juno,Barbie in Rock 'N Royals (2015),ESTP,56 Pdb Votes
Makunga,Madagascar (Franchise),ESTP,80 Pdb Votes
Marcus Higgins,Grown Ups,ESTP,57 Pdb Votes
Woman,Mother! (2017),ESTP,38 Pdb Votes
Brie Evantee,Don’t Look Up (2021),ESTP,178 Pdb Votes
"Charles ""Trout"" Walker",Holes (2003),ESTP,8 Pdb Votes
Bobby,Blue Valentine (2010),ESTP,14 Pdb Votes
Telly,Kids (1995),ESTP,13 Pdb Votes
Dark-haired Student,In a Heartbeat (2017),ESTP,4 Pdb Votes
Duane Jackson,The Last Picture Show (1971),ESTP,8 Pdb Votes
