char,movie,mbti,votes
Mekama Kirou,Usogui ( Live Action ),INTP,1 Pdb Vote
Roy Harley,La Sociedad de la Nieve (Society of the Snow),INTP,1 Pdb Vote
Louis Le Prince,Corsage (2022),XXXX,4 Pdb Votes
李惠琳 Li Huilin,坚如磐石 (Under the Light),XXXX,2 Pdb Votes
Roy,Bon Bini Holland,INTP,2 Pdb Votes
Maurice Bendrix,The End of the Affair (1999),INTP,10 Pdb Votes
Zach,Robots,INTP,1 Pdb Vote
Mi-Sun,Lift (2024),INTP,32 Pdb Votes
Süha,"Aşk, Büyü vs.",XXXX,57 Pdb Votes
douma,Sillypology fandom,INTP,2 Pdb Votes
vekky,Sillypology fandom,INTP,21 Pdb Votes
Ethan,The One I Love (2014),INTP,1 Pdb Vote
Archer Fields,The Berlin Blaze (1954),INTP,4 Pdb Votes
Professor Tohichi Hikita,The Adventures of Buckaroo Banzai,XXXX,1 Pdb Vote
Кот-Баюн,По щучьему велению (2023),INTP,1 Pdb Vote
Jacob,Journey to Bethlehem (2023),ESFJ,2 Pdb Votes
Velma Dinkley,Trick or Treat Scooby-Doo (2022),XXXX,2 Pdb Votes
Chemistry Teacher,Willy Wonka and the Chocolate Factory (1971),INTP,12 Pdb Votes
Mister Terrific,Superman (2025),INTP,13 Pdb Votes
Federico Alcini (Versione Multiverso),Vacanze Estive,INTP,2 Pdb Votes
Dr. Ritick,Cartoon Movie (Series),INTP,12 Pdb Votes
Zatch Bell,Cartoon Movie (Series),INTP,9 Pdb Votes
Whis,Cartoon Movie (Series),INTP,9 Pdb Votes
Keisuke Isobe,A Girl on the Shore,INTP,5 Pdb Votes
Earring Magic Ken,Barbie (2023),INTP,2 Pdb Votes
Skippers,Barbie (2023),INTP,1 Pdb Vote
Gilbert Wynant,The Thin Man (Series),INTP,2 Pdb Votes
Maybe,Wreck-It Ralph (Franchise),XXXX,1 Pdb Vote
Cinnabun,Leo (2023),INTP,1 Pdb Vote
Oskar Matzerath,The Tin Drum (1979),XXXX,5 Pdb Votes
Daniel Gale,The Bad Mother’s Handbook (2007),XXXX,10 Pdb Votes
Remo,Barbie in A Mermaid Tale,XXXX,1 Pdb Vote
Ingolf von Appen,Cut Off(2018),ENTP,2 Pdb Votes
"Claybourne, The Client",The Killer,XXXX,9 Pdb Votes
Chip,The Little Engine That Could (1991),INTP,9 Pdb Votes
"Jordan ""Jordy"" Benedict III",Giant (1956),INTP,1 Pdb Vote
Ron Heacock,Quiz Lady (2023),INTP,1 Pdb Vote
Naomi Tanaka,Swing Girls (2004),XXXX,1 Pdb Vote
Brandon,Team Hot Wheels: The Origin of Awesome!,XXXX,6 Pdb Votes
Mike Lassiter,The Whole Truth (2016) - El Abogado del Mal,XXXX,3 Pdb Votes
Akurisu,Ofis Akademia,INTP,10 Pdb Votes
Klava/Клава,Scarecrow (Чучело),XXXX,2 Pdb Votes
Michael Pierce,Mother of Tears,INTP,2 Pdb Votes
Ikuko,We Are Little Zombies,INTP,2 Pdb Votes
Midi-chlorians,Star Wars,ISFJ,1 Pdb Vote
Jack,2 Days,INTP,0
Ronnie Ramtech,The Emoji Movie (2017),XXXX,0
Pete,Ouija (2014),INTP,2 Pdb Votes
Willow Whiteflake,Hunger Games Tales,ENTP,1 Pdb Vote
Techna Gadget,Hunger Games Tales,INTP,1 Pdb Vote
Anuradha Shivshankar Panikar,Hera Pheri (2000),INTP,3 Pdb Votes
Suhal,"Do Not Disturb ""A Night with Ayzek""",INTP,5 Pdb Votes
Tim Jenkin,Escape from Pretoria,INTP,5 Pdb Votes
Stephen Dedalus,Ulysses (1967 film),XXXX,1 Pdb Vote
David Lipsky,The End of the Tour (2015),INTP,2 Pdb Votes
Osborne,The Element of Crime,INTP,2 Pdb Votes
Mish-Mash,The Brave Little Toaster (1987),XXXX,2 Pdb Votes
S.I. (Brahmaiyya),Garuda Gamana Vrishabha Vahana,INTP,4 Pdb Votes
Andy ,The Mountain (2018 film),XXXX,1 Pdb Vote
Young Ho,"Waiting for Rain (Endless Rain, 2021)",XXXX,3 Pdb Votes
arson emily,shart battle,XXXX,1 Pdb Vote
the rusty toilet,shart battle,INTP,2 Pdb Votes
Amelia,Totally Killer (2023),INTP,12 Pdb Votes
