char,movie,mbti,votes
Chas Tenenbaum,The Royal Tenenbaums (2001),ESTJ,125 Pdb Votes
Aunt March,Little Women (2019),ESTJ,156 Pdb Votes
Keller Dover,Prisoners (2013),ESTJ,234 Pdb Votes
Ms. Collins,Carrie (1976),ESTJ,74 Pdb Votes
Tim,Robots (2005),ESTJ,36 Pdb Votes
Duchess Rowena,Barbie In The 12 Dancing Princesses (2006),ESTJ,82 Pdb Votes
Doctor Barry,Maurice (1987),ESTJ,5 Pdb Votes
Jason Lock,The Matrix Trilogy,ESTJ,73 Pdb Votes
Mr. Electric,The Adventures of Sharkboy and Lavagirl (2005),ESTJ,46 Pdb Votes
Bryan,Happy Feet (2006-2011),ESTJ,14 Pdb Votes
Noah,Happy Feet (2006-2011),ESTJ,16 Pdb Votes
The Colonel,Spirit: Stallion of the Cimarron (2002),ESTJ,78 Pdb Votes
Joe Cabot,Reservoir Dogs (1992),ESTJ,141 Pdb Votes
The Principal,K-12 (2019),ESTJ,52 Pdb Votes
Kim Chung-sook,Parasite (2019),ESTJ,284 Pdb Votes
Park Dong-ik,Parasite (2019),ESTJ,369 Pdb Votes
Bartemius “Barty” Crouch Sr.,Harry Potter / Wizarding World Films,ESTJ,128 Pdb Votes
Bunty,Chicken Run (2000),ESTJ,65 Pdb Votes
Carly Whitten,The Other Woman (2014),ESTJ,51 Pdb Votes
John Trent,In the Mouth of Madness (1994),ESTJ,7 Pdb Votes
Harry Cooper,Night of the Living Dead (1968),ESTJ,44 Pdb Votes
"Stephen ""Flyboy"" Andrews",Dawn of the Dead (1978),ESTJ,19 Pdb Votes
Miranda Hillard,Mrs. Doubtfire (1993),ESTJ,73 Pdb Votes
Holly Berenson,Life as We Know It (2010),ESTJ,29 Pdb Votes
Harry Waters,In Bruges (2008),ESTJ,54 Pdb Votes
Ngoc Lan Tran,Downsizing (2017),ESTJ,24 Pdb Votes
Tess Coleman,Freaky Friday (2003),ESTJ,89 Pdb Votes
Rolanda Hooch,Harry Potter / Wizarding World Films,ESTJ,74 Pdb Votes
Caius,Twilight (Franchise),ESTJ,102 Pdb Votes
Menelaus,Troy (2004),ESTJ,19 Pdb Votes
Adolf Hitler,Inglourious Basterds (2009),ESTJ,145 Pdb Votes
Second Officer Charles Lightoller,Titanic (1997),ESTJ,25 Pdb Votes
Bill Lumbergh,Office Space (1999),ESTJ,70 Pdb Votes
Carmen Cortéz,Spy Kids (2001),ESTJ,102 Pdb Votes
Minister Mason,Snowpiercer (2013),ESTJ,46 Pdb Votes
Gunnery Sergeant Hartman,Full Metal Jacket (1987),ESTJ,528 Pdb Votes
